aggregation_level,weighting,pair,seed,task,n_pairs,n_seeds,n_tasks,n_unique_samples,n_repeated_observations,bootstrap_samples,bootstrap_confidence,bootstrap_level,receiver_correct_fused_correct_rate,receiver_correct_fused_correct_rate_ci_low,receiver_correct_fused_correct_rate_ci_high,beneficial_transfer_rate,beneficial_transfer_rate_ci_low,beneficial_transfer_rate_ci_high,harmful_transfer_rate,harmful_transfer_rate_ci_low,harmful_transfer_rate_ci_high,receiver_wrong_fused_wrong_rate,receiver_wrong_fused_wrong_rate_ci_low,receiver_wrong_fused_wrong_rate_ci_high,receiver_accuracy,receiver_accuracy_ci_low,receiver_accuracy_ci_high,fused_accuracy,fused_accuracy_ci_low,fused_accuracy_ci_high,oracle_accuracy,oracle_accuracy_ci_low,oracle_accuracy_ci_high,best_fixed_accuracy,best_fixed_accuracy_ci_low,best_fixed_accuracy_ci_high,oracle_headroom_over_fused,oracle_headroom_over_fused_ci_low,oracle_headroom_over_fused_ci_high,oracle_headroom_over_receiver,oracle_headroom_over_receiver_ci_low,oracle_headroom_over_receiver_ci_high,oracle_headroom_over_best_fixed,oracle_headroom_over_best_fixed_ci_low,oracle_headroom_over_best_fixed_ci_high,fused_minus_receiver,fused_minus_receiver_ci_low,fused_minus_receiver_ci_high,mean_transfer_utility,mean_transfer_utility_ci_low,mean_transfer_utility_ci_high,best_fixed_policy
pair_seed_task,single_task,tinyllama,42,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.3026086956521739,0.27652173913043476,0.32956521739130434,0.24521739130434783,0.22,0.27043478260869563,0.09913043478260869,0.08260869565217391,0.11654347826086925,0.35304347826086957,0.32608695652173914,0.38,0.4017391304347826,0.3739130434782609,0.4304347826086956,0.5478260869565217,0.5191304347826087,0.5765217391304348,0.6469565217391304,0.62,0.673913043478261,0.5478260869565217,0.5191304347826087,0.5765217391304348,0.09913043478260875,0.08260869565217388,0.1165434782608693,0.24521739130434783,0.22000000000000008,0.2704347826086957,0.09913043478260875,0.08260869565217388,0.1165434782608693,0.1460869565217391,0.11304347826086952,0.18,0.14608695652173914,0.11304347826086955,0.18,fused
pair_seed_task,single_task,tinyllama,42,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.294,0.254,0.336,0.212,0.176,0.248,0.102,0.076,0.13,0.392,0.35,0.436,0.39599999999999996,0.354,0.44,0.506,0.462,0.55,0.608,0.5640000000000001,0.65,0.506,0.462,0.55,0.10199999999999998,0.07599999999999996,0.13,0.21200000000000002,0.176,0.248,0.10199999999999998,0.07599999999999996,0.13,0.11000000000000004,0.06000000000000005,0.15800000000000003,0.11,0.06000000000000001,0.158,fused
pair_seed_task,single_task,tinyllama,42,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.24167408726625111,0.23045414069456813,0.25289848619768474,0.22867319679430098,0.2176313446126447,0.23971504897595725,0.10863757791629564,0.1006233303650935,0.11665182546749778,0.42101513802315227,0.40819234194122883,0.43365983971504896,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.4703472840605521,0.45734639358860196,0.4835262689225289,0.5789848619768477,0.5663401602849509,0.5918076580587712,0.4703472840605521,0.45734639358860196,0.4835262689225289,0.10863757791629564,0.10062333036509352,0.1166518254674978,0.22867319679430098,0.21763134461264466,0.23971504897595725,0.10863757791629564,0.10062333036509352,0.1166518254674978,0.12003561887800535,0.10525378450578804,0.1349955476402493,0.12003561887800535,0.10525378450578807,0.13499554764024932,fused
pair_seed,task_macro,tinyllama,42,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.27942759430614167,0.26316322996115477,0.2963977441377263,0.2286301960328829,0.21331870507310904,0.24392017693290488,0.1032560042329681,0.09242897389239484,0.11443601378295713,0.38868620542800725,0.37145924348600406,0.4063186973298747,0.38268359853910977,0.3650818156594009,0.40074884754862106,0.5080577903390245,0.49000710054589797,0.525951964845716,0.6113137945719926,0.5936813026701253,0.6285407565139959,0.5080577903390245,0.49000710054589797,0.525951964845716,0.1032560042329681,0.09242897389239481,0.11443601378295709,0.22863019603288287,0.21331870507310904,0.24392017693290477,0.1032560042329681,0.09242897389239481,0.11443601378295709,0.12537419179991477,0.10444453392181914,0.14545237975402325,0.1253741917999148,0.10444453392181915,0.14545237975402325,fused
pair_seed,sample_weighted,tinyllama,42,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.25492085340674464,0.24501032346868545,0.26510667584308323,0.23014452856159667,0.22037164487267724,0.2397832071576049,0.10667584308327596,0.09951823812801101,0.11383344803854095,0.40825877494838264,0.3969717825189264,0.41954576737783894,0.3615966964900206,0.35058499655884373,0.3727460426703372,0.4850653819683413,0.4735030970406056,0.49662766689607707,0.5917412250516173,0.580454232622161,0.6030282174810736,0.4850653819683413,0.4735030970406056,0.49662766689607707,0.10667584308327599,0.09951823812801103,0.11383344803854095,0.23014452856159673,0.22037164487267724,0.23978320715760496,0.10667584308327599,0.09951823812801103,0.11383344803854095,0.12346868547832074,0.11025464556090847,0.1364074328974535,0.12346868547832071,0.11025464556090847,0.13640743289745352,fused
pair_seed_task,single_task,tinyllama,43,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.3278260869565217,0.3008695652173913,0.3556521739130435,0.20173913043478262,0.1782608695652174,0.22608695652173913,0.07391304347826087,0.059130434782608696,0.08956521739130435,0.39652173913043476,0.36869565217391304,0.42434782608695654,0.4017391304347826,0.3739130434782609,0.4304347826086956,0.5295652173913044,0.5008695652173913,0.5591304347826087,0.6034782608695652,0.5756521739130436,0.631304347826087,0.5295652173913044,0.5008695652173913,0.5591304347826087,0.07391304347826089,0.05913043478260871,0.08956521739130441,0.20173913043478264,0.17826086956521736,0.22608695652173905,0.07391304347826089,0.05913043478260871,0.08956521739130441,0.12782608695652176,0.09823913043478276,0.15741304347826063,0.12782608695652176,0.09823913043478279,0.15741304347826057,fused
pair_seed_task,single_task,tinyllama,43,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.308,0.268,0.35,0.162,0.13,0.194,0.088,0.064,0.114,0.442,0.398,0.486,0.396,0.354,0.44,0.47,0.42600000000000005,0.514,0.5579999999999999,0.514,0.602,0.47,0.42600000000000005,0.514,0.08799999999999997,0.06400000000000006,0.11399999999999999,0.16199999999999992,0.13,0.194,0.08799999999999997,0.06400000000000006,0.11399999999999999,0.07399999999999995,0.030000000000000027,0.11599999999999999,0.07400000000000001,0.030000000000000013,0.116,fused
pair_seed_task,single_task,tinyllama,43,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.2808548530721282,0.2692787177203918,0.29260908281389136,0.16544968833481746,0.1558325912733749,0.17524487978628672,0.06945681211041853,0.0628673196794301,0.07604630454140694,0.4842386464826358,0.4712333036509351,0.49741763134461264,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.44630454140694564,0.43330365093499557,0.4596616206589492,0.5157613535173642,0.5025823686553874,0.5287666963490649,0.44630454140694564,0.43330365093499557,0.4596616206589492,0.06945681211041854,0.0628673196794301,0.07604630454140693,0.16544968833481744,0.15583259127337484,0.17524487978628667,0.06945681211041854,0.0628673196794301,0.07604630454140693,0.0959928762243989,0.08352626892252896,0.10845948352626889,0.09599287622439893,0.08352626892252894,0.10845948352626891,fused
pair_seed,task_macro,tinyllama,43,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.3055603133428833,0.2890317704905339,0.32301164969607804,0.1763962729232,0.16307601016944775,0.19017838927820152,0.07712328519622647,0.06744459457715488,0.08749905661594846,0.44092012853769014,0.4233679255875179,0.45847981274278266,0.38268359853910977,0.36508181565940095,0.400748847548621,0.4819565862660833,0.46423315523894326,0.4998302502355233,0.5590798714623098,0.5415201872572174,0.5766320744124821,0.4819565862660833,0.46423315523894326,0.4998302502355233,0.07712328519622647,0.06744459457715485,0.08749905661594846,0.17639627292319998,0.16307601016944775,0.19017838927820147,0.07712328519622647,0.06744459457715485,0.08749905661594846,0.09927298772697352,0.08100392840089309,0.11706301702221017,0.09927298772697354,0.08100392840089306,0.11706301702221014,fused
pair_seed,sample_weighted,tinyllama,43,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.29015829318651065,0.27996902959394354,0.3007570543702684,0.170956641431521,0.1624225739848589,0.17962835512732275,0.07143840330350998,0.0655196145905024,0.07749483826565726,0.46744666207845836,0.4560220233998623,0.479008947006194,0.36159669649002063,0.3505849965588438,0.37274604267033723,0.46111493461803166,0.44982794218857536,0.47267721954576736,0.5325533379215417,0.520991052993806,0.5439779766001376,0.46111493461803166,0.44982794218857536,0.47267721954576736,0.07143840330351003,0.06551961459050237,0.07749483826565723,0.17095664143152106,0.16242257398485888,0.17962835512732273,0.07143840330351003,0.06551961459050237,0.07749483826565723,0.09951823812801103,0.08850309704060562,0.11052993805918787,0.09951823812801103,0.08850309704060563,0.1105299380591879,fused
